link,title,description,cleaned_description
https://www.dawnnews.tv,Home - Dawnnews,"Visit dawnnews.tv for latest news, breaking news in Urdu today from Pakistan, world, life & style, business, sports, health and analysis.",visit dawnnewstv for latest news breaking news in urdu today from pakistan world life  style business sports health and analysis
https://images.dawn.com,Home - Images,Film. Fashion. Celebrity. Culture. All your lifestyle needs met by Pakistan&#039;s hippest insider. IMAGES - Home,film fashion celebrity culture all your lifestyle needs met by pakistans hippest insider images  home
https://herald.dawn.com,Herald - Herald,Become a print subscriber of Herald in a few clicks.,become a print subscriber of herald in a few clicks
https://aurora.dawn.com,Home - Aurora,"AURORA is Pakistan's leading advertising, marketing and media magazine; it is widely recognised as the voice of the industry.",aurora is pakistans leading advertising marketing and media magazine it is widely recognised as the voice of the industry
http://classifieds.dawn.com/,Dawn Classifieds,Classifieds advertisement Real Estate Business Automobiles  Careers Jobs Recruitment Islamabd Karachi Lahore Pakistan cars power price toyota suzuki,classifieds advertisement real estate business automobiles  careers jobs recruitment islamabd karachi lahore pakistan cars power price toyota suzuki
https://obituary.dawn.com,Dawn Obituaries - Book Dawn Newspaper Obituary Online,Place national and regional newspaper obituaries through Dawn's online obituary booking platform,place national and regional newspaper obituaries through dawns online obituary booking platform
https://www.dawn.com/,Home - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com,Home - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/latest-news,Latest - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/pakistan,Pakistan - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/opinion,Opinion - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/business,Business - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/world,World - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/entertainment,Home - Images,Film. Fashion. Celebrity. Culture. All your lifestyle needs met by Pakistan&#039;s hippest insider. IMAGES - Home,film fashion celebrity culture all your lifestyle needs met by pakistans hippest insider images  home
https://www.dawn.com/prism,Prism - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/sport,Sport - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/magazines,Magazines - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/tech,Tech - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
